Playback Hour,Operating System,Browser,Delivery Type,City,Country,ISP,State,Content Quality Entitled,Entitlement Type,Video Type,Audio Language,Title
02/14/2018 11:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Human Is-Philip K. Dick's Electric Dreams - Season 1
02/14/2018 12:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Crazy Diamond-Philip K. Dick's Electric Dreams - Season 1
02/14/2018 13:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The Hood Maker-Philip K. Dick's Electric Dreams - Season 1
02/14/2018 14:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Safe and Sound-Philip K. Dick's Electric Dreams - Season 1
02/14/2018 15:00:00,Windows 10,Chrome 63.0.3239.132,,milano,it,BBBell_PPPoE_Customers,,HD,PRIME_SUBSCRIPTION,Feature,it-it,The Father Thing-Philip K. Dick's Electric Dreams - Season 1
03/01/2018 14:00:00,Android6.0.1,,streaming,turin,it,Uni-Torino-LAN1,,SD,PRIME_SUBSCRIPTION,Feature,en-gb,Bah humbug-atti-The Grand Tour - Season 2
03/13/2018 14:00:00,Windows 10,Chrome 65.0.3325.146,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-gb,Feed the world-The Grand Tour - Season 2
05/10/2018 16:00:00,Windows 10,Chrome 66.0.3359.139,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson42-Great Teacher Onizuka - Stagione 1
05/10/2018 16:00:00,Windows 10,Chrome 66.0.3359.139,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,The Conceptual F***-I Love Dick
05/10/2018 16:00:00,Windows 10,Chrome 66.0.3359.139,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Paura e Desiderio
05/10/2018 16:00:00,Windows 10,Chrome 66.0.3359.139,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Evoluzione!-Serie Pokémon Rubino e Zaffiro
05/10/2018 16:00:00,Windows 10,Chrome 66.0.3359.139,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson43-Great Teacher Onizuka - Stagione 1
07/26/2018 14:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson3-Great Teacher Onizuka - Stagione 1
07/26/2018 15:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson4-Great Teacher Onizuka - Stagione 1
07/26/2018 15:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson5-Great Teacher Onizuka - Stagione 1
07/26/2018 15:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson6-Great Teacher Onizuka - Stagione 1
07/26/2018 16:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson7-Great Teacher Onizuka - Stagione 1
07/26/2018 16:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson8-Great Teacher Onizuka - Stagione 1
07/26/2018 17:00:00,Windows 10,Chrome 67.0.3396.99,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,it-it,Lesson9-Great Teacher Onizuka - Stagione 1
09/30/2018 16:00:00,Windows 10,Chrome 69.0.3497.100,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Great Expectations-All or Nothing: Manchester City  -  Season 1
11/04/2018 18:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Now More Than Ever, We Care About You-Man in the High Castle - Season 3
11/04/2018 20:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Now More Than Ever, We Care About You-Man in the High Castle - Season 3
11/04/2018 21:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Imagine Manchuria-Man in the High Castle - Season 3
11/04/2018 23:00:00,Windows 10,Chrome 70.0.3538.77,,milano,it,fastweb,,HD,PRIME_SUBSCRIPTION,Feature,en-us,Sensô Kôi-Man in the High Castle - Season 3
