"DeviceType","StartDate","EndDate","EventDuration","StartPosition","EndPosition","Title","Asin","BookLength","DeliveryType","NarrationSpeed","Bookmark","AudioType","AsinOwned","ListeningMode","Store","AppVersion","LocalTimezone"
"Audible for Android","29-JAN-2018","29-JAN-2018","14000","28439475","28452799","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","544000","28452799","28997400","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","1045000","28997400","30046783","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","213000","30046783","30259915","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","29-JAN-2018","29-JAN-2018","4167000","30259915","34426550","Harry Potter e la pietra filosofale (Harry Potter 1)","B075CQVHK1","34513769","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","931000","0","930372","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","523000","930377","1453657","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","158000","1453657","1611599","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","5635000","1611604","7246386","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","538000","7246390","7783974","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","2976000","7783978","10759658","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","11422000","10759662","22182157","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","571000","22182161","22752950","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","709000","22752026","23460973","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","429000","23460977","23889753","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","30-JAN-2018","30-JAN-2018","2852000","23888642","26740838","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","71000","26740796","22487453","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
"Audible for Android","31-JAN-2018","31-JAN-2018","5346000","23331781","28677336","Harry Potter e la camera dei segreti (Harry Potter 2)","B075QL1HJT","37394111","Download","1.00","0",,"true",,"Audible","2.20.1","Europe/Rome"
